2021-07-29 11:05:03,341 - DEBUG - 4
2021-07-29 11:05:03,342 - DEBUG - 4
2021-07-29 11:05:33,266 - DEBUG - 4
2021-07-29 11:05:33,266 - DEBUG - 4
2021-07-29 11:05:35,451 - DEBUG - -1
2021-07-29 11:06:10,207 - DEBUG - 4
2021-07-29 11:06:10,208 - DEBUG - 4
2021-07-29 11:06:10,208 - DEBUG - set to -1
2021-07-29 11:06:11,698 - DEBUG - -1
2021-07-29 16:10:49,232 - DEBUG - px, py: 43 19
2021-07-29 16:10:59,236 - DEBUG - px, py: 43 19
2021-07-29 16:11:09,240 - DEBUG - px, py: 43 19
2021-07-29 16:11:19,243 - DEBUG - px, py: 43 19
2021-07-29 16:11:29,247 - DEBUG - px, py: 43 19
2021-07-29 16:11:39,249 - DEBUG - px, py: 43 19
2021-07-29 16:11:49,256 - DEBUG - px, py: 43 19
2021-07-29 16:11:59,261 - DEBUG - px, py: 43 19
2021-07-29 16:12:09,266 - DEBUG - px, py: 43 19
2021-07-29 16:12:19,270 - DEBUG - px, py: 43 19
2021-07-29 16:12:29,277 - DEBUG - px, py: 43 19
2021-07-29 16:12:39,281 - DEBUG - px, py: 43 19
2021-07-29 16:12:49,284 - DEBUG - px, py: 43 19
2021-07-29 16:12:49,880 - DEBUG - px, py: 43 19
2021-07-29 16:12:50,032 - DEBUG - px, py: 43 19
2021-07-29 16:12:50,192 - DEBUG - px, py: 43 19
2021-07-29 16:12:50,336 - DEBUG - px, py: 43 19
2021-07-29 16:12:50,665 - DEBUG - px, py: 43 19
2021-07-29 16:12:50,864 - DEBUG - px, py: 43 19
2021-07-29 16:12:51,024 - DEBUG - px, py: 43 19
2021-07-29 16:12:51,184 - DEBUG - px, py: 43 19
2021-07-29 16:12:51,448 - DEBUG - px, py: 43 19
2021-07-29 16:12:51,616 - DEBUG - px, py: 43 19
2021-07-29 16:12:51,792 - DEBUG - px, py: 43 19
2021-07-29 16:12:51,952 - DEBUG - px, py: 43 19
2021-07-29 16:12:52,312 - DEBUG - px, py: 43 19
2021-07-29 16:12:53,176 - DEBUG - px, py: 43 19
2021-07-29 16:12:53,379 - DEBUG - px, py: 43 19
2021-07-29 16:12:54,388 - DEBUG - px, py: 43 19
2021-07-29 16:12:55,409 - DEBUG - px, py: 43 19
2021-07-29 16:12:55,600 - DEBUG - px, py: 43 19
2021-07-29 16:12:55,937 - DEBUG - px, py: 43 19
2021-07-29 16:12:56,130 - DEBUG - px, py: 43 19
2021-07-29 16:12:56,281 - DEBUG - px, py: 43 19
2021-07-29 16:12:56,433 - DEBUG - px, py: 43 19
2021-07-29 16:12:56,641 - DEBUG - px, py: 43 19
2021-07-29 16:12:56,801 - DEBUG - px, py: 43 19
2021-07-29 16:12:56,992 - DEBUG - px, py: 43 19
2021-07-29 16:12:57,000 - DEBUG - px, py: 43 19
2021-07-29 16:13:07,003 - DEBUG - px, py: 43 19
2021-07-29 16:13:17,006 - DEBUG - px, py: 43 19
2021-07-29 16:13:27,010 - DEBUG - px, py: 43 19
2021-07-29 16:13:37,014 - DEBUG - px, py: 43 19
2021-07-29 16:13:47,018 - DEBUG - px, py: 43 19
2021-07-29 16:13:57,021 - DEBUG - px, py: 43 19
2021-07-29 16:14:07,024 - DEBUG - px, py: 43 19
2021-07-29 16:14:17,026 - DEBUG - px, py: 43 19
2021-07-29 16:14:27,029 - DEBUG - px, py: 43 19
2021-07-29 16:14:37,036 - DEBUG - px, py: 43 19
2021-07-29 16:14:47,038 - DEBUG - px, py: 43 19
2021-07-29 16:14:57,042 - DEBUG - px, py: 43 19
2021-07-29 16:15:07,045 - DEBUG - px, py: 43 19
2021-07-29 16:15:17,050 - DEBUG - px, py: 43 19
2021-07-29 16:15:27,052 - DEBUG - px, py: 43 19
2021-07-29 16:15:37,055 - DEBUG - px, py: 43 19
2021-07-29 16:15:47,060 - DEBUG - px, py: 43 19
2021-07-29 16:15:57,062 - DEBUG - px, py: 43 19
2021-07-29 16:16:07,066 - DEBUG - px, py: 43 19
2021-07-29 16:16:17,068 - DEBUG - px, py: 43 19
2021-07-29 16:16:27,072 - DEBUG - px, py: 43 19
2021-07-29 16:16:37,075 - DEBUG - px, py: 43 19
2021-07-29 16:16:42,193 - DEBUG - px, py: 43 19
2021-07-29 16:16:42,353 - DEBUG - px, py: 43 19
2021-07-29 16:16:42,577 - DEBUG - px, py: 43 19
2021-07-29 16:16:42,745 - DEBUG - px, py: 43 19
2021-07-29 16:16:42,897 - DEBUG - px, py: 43 19
2021-07-29 16:16:43,081 - DEBUG - px, py: 43 19
2021-07-29 16:16:43,226 - DEBUG - px, py: 43 19
2021-07-29 16:16:43,496 - DEBUG - px, py: 43 19
2021-07-29 16:16:53,500 - DEBUG - px, py: 43 19
2021-07-29 16:17:03,504 - DEBUG - px, py: 43 19
2021-07-29 16:17:13,508 - DEBUG - px, py: 43 19
2021-07-29 16:17:23,510 - DEBUG - px, py: 43 19
2021-07-29 16:17:33,512 - DEBUG - px, py: 43 19
2021-07-29 16:17:43,516 - DEBUG - px, py: 43 19
2021-07-29 16:17:53,519 - DEBUG - px, py: 43 19
2021-07-29 16:18:03,524 - DEBUG - px, py: 43 19
2021-07-29 16:18:13,527 - DEBUG - px, py: 43 19
2021-07-29 16:18:23,533 - DEBUG - px, py: 43 19
2021-07-29 16:18:33,536 - DEBUG - px, py: 43 19
